product_id,product_name,aisle_id,department_id
23,Organic Turkey Burgers,49,12
79,Wild Albacore Tuna No Salt Added,95,15
95,Organic Rice Vinegar,66,6
196,Soda,77,7
248,Dried Sweetened Cranberries,117,19
260,Cantaloupe,24,4
274,Snack Bags,87,17
311,Naturals Savory Turkey Breakfast Sausage,52,1
481,Black Peppercorns,104,13
519,Antioxidant Infusions Brasilia Blueberry,31,7
651,Organic Salted Butter,36,16
1005,China Green Tips Green Tea,94,7
1200,Vegetable Classics Vegetable Soup,69,15
1529,"Parsley, Italian (Flat), New England Grown",16,4
1559,Cherry Pomegranate Greek Yogurt,120,16
1757,Organic Cashew Carrot Ginger Soup,69,15
1819,All Natural No Stir Creamy Almond Butter,88,13
2002,"The \""World's Best\"" Veggie Burger",42,1
2078,Unsalted Pure Irish Butter,36,16
2361,Mint Chip,37,1
2573,Garlic Pepper Ramen,66,6
2707,Complete™ ActionPacs™ Fresh Scent Dishwasher Detergent,74,17
2732,Gluten Free Pretzel Sticks,107,19
2846,Organic Green Onions,83,4
3151,Super Tea Power Greens,94,7
3376,Organic Whole Kernel Sweet Corn No Salt Added,81,15
3634,Krinkle Cut Classic Barbecue Potato Chips,107,19
4071,Organic Lemongrass Ginger Ramen,66,6
4799,Shredded Parmesan,21,16
4853,Broccoli Rabe,83,4
4920,Seedless Red Grapes,123,4
4945,Large Pineapple Chunks,123,4
4957,Total 2% Lowfat Greek Strained Yogurt With Blueberry,120,16
5002,Organic Iced Oatmeal Cookie ZBar,3,19
5194,Organic Bunny Fruit Snacks Berry Patch,50,19
5212,Watermelon Chunks,123,4
5322,Gluten Free Dark Chocolate Chunk Chewy with a Crunch Granola Bars,3,19
5450,Small Hass Avocado,24,4
5539,Organic SprouTofu Silken Tofu,14,20
5605,Sesame Seed,104,13
5646,Organic Turkey Bacon,106,12
5699,Gluten Free Mushroom Risotto Bowl,38,1
5746,Heavy Cream,53,16
5769,Organic Chicken Stock,69,15
5818,White Onion,83,4
5869,Unsweetened Carob Chips,17,13
5876,Organic Lemon,24,4
5907,Apple Cinnamon Fig Bar,48,14
5989,Sliced Tamed Jalapeno Peppers,110,13
5999,"Semi-Soft Cheese, Ripened",21,16
6141,Low Sodium Beef Broth,69,15
6361,Soft Potato Bread,112,3
6473,Bag of Lemons,24,4
6489,Backyard Barbeque Potato Chips,107,19
6808,Organic Spinach & Cheese Tortellini,12,9
7058,Vidalia Onions,83,4
7076,Grain Free Chicken Formula Cat Food,41,8
7160,Clear Cups,111,17
7350,Natural Lime Flavor Sparkling Mineral Water,115,7
7503,Whole Almonds,117,19
7632,Old Style Whole Grain Dijon Mustard,72,13
7746,Oregano,104,13
7781,Organic Sticks Low Moisture Part Skim Mozzarella String Cheese,21,16
7952,Chicken & Apple Breakfast Sausage,106,12
7963,Gluten Free Whole Grain Bread,58,1
8021,100% Recycled Paper Towels,54,17
8138,Traditional Hummus,67,20
8193,Russet Potato,83,4
8197,PlusShot Blueberry Acai Probiotic Juice Drink,31,7
8230,100% Recycled Bathroom Tissue,54,17
8239,Peanut Butter Creamy With Salt,88,13
8277,Apple Honeycrisp Organic,24,4
8296,OG Sesame Tamari Rice Cake Organic Rice Cakes,78,19
8309,Nonfat Icelandic Style Strawberry Yogurt,120,16
8424,Broccoli Crown,83,4
8467,Cinnamon Raisin Bread,112,3
8479,Original Black Box Tablewater Cracker,78,19
8518,Organic Red Onion,83,4
8670,Diced Tomatoes,81,15
8834,Raspberry Lime Sparkling Seltzer Water,115,7
8952,Multigrain Pancake & Waffle Mix,130,14
8988,Organic Garlic Powder,104,13
9124,Broccoli & Cheddar Bake Meal Bowl,38,1
9339,Organic Chicken & Apple Sausage,106,12
9387,Granny Smith Apples,24,4
9598,Gogo Squeez Organic Apple Strawberry Applesauce on the Go,99,15
9681,Chicken Tikka Masala with Cumin Infused Basmati Rice Frozen Meal,38,1
9839,Organic Broccoli,83,4
9871,Beef Loin New York Strip Steak,122,12
10132,Organic American Cheese Singles,21,16
10177,German Barrel Sauerkraut,110,13
10258,Pistachios,117,19
10305,Black Plum,24,4
10326,Organic Fuji Apples,24,4
10504,Yukon Gold Potatoes 5lb Bag,83,4
10644,Italian Extra Virgin Olive Oil,19,13
10863,Grain Free Turkey & Salmon Formula Cat Food,41,8
10895,Mexican Finely Shredded Cheese,21,16
10960,Nutritional Yeast Seasoning,104,13
11068,Medium Cheddar Cheese Block,21,16
11136,Organic Low Sodium Chicken Cooking Stock,69,15
11520,Large Alfresco Eggs,86,16
11777,Red Raspberries,123,4
11782,Bing Cherries,24,4
11790,Natural Vanilla Marshmallows,17,13
11845,100% Mango Juice,98,7
11865,Light & Lean Spaghetti Italiano with Meatless Meatballs,38,1
11913,Shelled Pistachios,117,19
12000,Baked Organic Sea Salt Crunchy Pea Snack,72,13
12007,Organic All Day Fresh Deodorant Lavender,80,11
12053,Panama Peach Antioxidant Infusion,31,7
12075,Spicy Hummus,67,20
12196,Chicken Quesadilla,13,20
12206,Basil Pesto,9,9
12258,Organic White English Muffins,93,3
12324,Indian Paneer Tikka,38,1
12384,Organic Lactose Free 1% Lowfat Milk,91,16
12427,Original Beef Jerky,23,19
12845,Chopped Walnuts,117,19
12872,Penne Rigate,131,9
13032,Cinnamon Toast Crunch,121,14
13083,Lowfat Small Curd Cottage Cheese,108,16
13176,Bag of Organic Bananas,24,4
13198,85% Lean Ground Beef,122,12
13212,Ground Black Pepper,104,13
13249,Skim Milk,84,16
13351,Total 0% Peach Yogurt,120,16
13512,Organic Smoked Chicken Breast,96,20
13629,Organic Snipped Green Beans,83,4
13640,Asian Pears,24,4
13740,Organic Summer Strawberry Bunny Fruit Snacks,50,19
13742,Organic Coconut Almond Peanut,3,19
13802,Salted Sweet Cream Butter,36,16
13829,Mild Salsa,51,13
13870,Lightly Salted Baked Snap Pea Crisps,107,19
13988,Snow Peas,83,4
14084,Organic Unsweetened Vanilla Almond Milk,91,16
14267,Organic Refried Black Beans,59,15
14306,Organic Packham Or Anjou Pears,110,13
14332,Organic Yellow Mustard,72,13
14553,Oats & Honey Granola,57,14
14947,Pure Sparkling Water,115,7
14992,Green Beans,83,4
15011,"Pita Chips, Simply Naked",107,19
15143,Blueberry Pint,24,4
15261,Organic Rosemary,16,4
15290,Orange Bell Pepper,83,4
15349,Organic Raw Agave Nectar,29,13
15392,Organic Mayonnaise,72,13
15581,Boom Chicka Pop Candy Corn Flavored Kettle Corn,23,19
15592,Organic Baby Romaine Lettuce,123,4
15841,Organic Dark Chocolate Almond & Sea Salt Trail Mix Bar,3,19
15937,Shallot,83,4
16018,Cinnamon Crunch Apple Chips,50,19
16154,Mini Peanut Butter Sandwich Crackers,78,19
16168,Large Organic Omega3 Brown Eggs,86,16
16185,Sharp Cheddar Cheese,21,16
16349,Organic Yams,83,4
16521,Walnut Halves & Pieces,117,19
16589,Plantain Chips,107,19
16797,Strawberries,24,4
16857,Barcelona Vinaigrette Mediterranean Style,89,13
16869,Automatic Dishwasher Tablets Citrus - 25 CT,74,17
16965,Chocolate Ice Cream,37,1
17122,Honeycrisp Apples,24,4
17159,Rhubarb,83,4
17224,Oats & Honey Gluten Free Granola,3,19
17600,"YoKids Squeezers Organic Low-Fat Yogurt, Strawberry",120,16
17638,Vanilla Coffee Concentrate,26,7
17668,Unsweetened Chocolate Almond Breeze Almond Milk,91,16
17706,Organic Whole Grain Wheat English Muffins,93,3
